Q1: Years spent professionally working on digital games,Q2: Current number of projects,Q3: Number of job roles,Q3: Board member,Q3: Producer / Manager,Q3: Developer,Q3: Game Designer,Q3: Artist,Q3: Other,Q3: Lead position,Q5: Structure of people working on the game,Q6: Number of people working in same team/department,Q7: Collaboration with others,Q8: Percentage on-site,Q9: Meetings - progress of individuals,Q9: Meetings - progress as a whole,Q9: Meetings - work out upcoming tasks,Q9: Meetings - planning and scheduling tasks,Q9: Meetings - progress of work in recent times,Q10: Documentation for meetings and their results,Q11: Development progress layerwise,Q11: Development progress featurewise,Q12: Characterize the development process
"[1,4.75)",1,3,n,y,y,y,n,n,n,One joint team,"[4,10]",Remotely,,Regularly,Spontaneous/When needed,Regularly,Spontaneous/When needed,Spontaneous/When needed,All,Work on multiple layers simultaneously,Parallel development of multiple features.,Iterative
"[15,35]","[4,10]",1,y,n,n,n,n,n,n,One joint team,"[4,10]","On-site, Remotely",80,Spontaneous/When needed,Regularly,Regularly,Regularly,Regularly,Partially,Work on multiple layers simultaneously,Parallel development of multiple features.,Hybrid
"[15,35]","[4,10]",2,y,n,n,n,y,n,n,One joint team,"[4,10]",Remotely,,Regularly,Regularly,Spontaneous/When needed,Regularly,Regularly,All,Work on multiple layers simultaneously,Parallel development of multiple features.,Iterative
"[15,35]",1,1,n,n,n,n,y,n,y,Several departments,"[6,10]","On-site, Remotely",40,Regularly,Regularly,Regularly,Regularly,Regularly,Partially,,Parallel development of multiple features.,Bespoke
"[10,15)",2,2,y,n,n,n,y,n,n,One joint team,"[4,10]","On-site, Remotely",80,Regularly,Regularly,Regularly,Regularly,Regularly,Partially,Work on multiple layers simultaneously,Parallel development of multiple features.,Hybrid
"[10,15)",2,2,y,n,y,n,n,n,n,One joint team,"[4,10]","On-site, Remotely",50,Spontaneous/When needed,Regularly,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Partially,Work on multiple layers simultaneously,One feature at a time.,"Iterative, Ad-Hoc"
"[10,15)",1,1,y,n,n,n,n,n,n,One joint team,"[11,20]","On-site, Remotely",10,Regularly,Spontaneous/When needed,Spontaneous/When needed,Regularly,Spontaneous/When needed,Partially,Work on multiple layers simultaneously,Parallel development of multiple features.,Hybrid
"[15,35]",2,1,y,n,n,n,n,n,n,"Multiple feature teams, Several departments","[12,35]","On-site, Remotely",40,Regularly,Regularly,Spontaneous/When needed,Regularly,Regularly,Partially,Work on multiple layers simultaneously,Parallel development of multiple features.,"Hybrid, Ad-Hoc"
"[10,15)",2,2,y,n,y,n,n,n,n,One joint team,"[2,4)","On-site, Remotely",25,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,All,Work on multiple layers simultaneously,One feature at a time.,Hybrid
"[15,35]",2,3,n,y,y,n,y,n,n,One joint team,"[2,4)",Remotely,,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Partially,Work on multiple layers simultaneously,One feature at a time.,Hybrid
"[15,35]",2,3,y,y,y,n,n,n,n,One joint team,"[4,10]","On-site, Remotely",25,Regularly,Regularly,Regularly,Regularly,Spontaneous/When needed,All,,Parallel development of multiple features.,Iterative
"[10,15)",1,2,y,n,y,n,n,n,y,One joint team,"[4,10]",Remotely,,Regularly,Spontaneous/When needed,Spontaneous/When needed,Regularly,Spontaneous/When needed,Partially,,Parallel development of multiple features.,Ad-Hoc
"[1,4.75)",1,3,n,y,y,n,y,n,n,One joint team,"[4,10]",Remotely,,Spontaneous/When needed,Regularly,Regularly,Regularly,Spontaneous/When needed,Partially,Work on multiple layers simultaneously,Parallel development of multiple features.,Hybrid
"[10,15)",3,1,y,n,n,n,n,n,n,"One joint team, Externals","[2,4)","On-site, Remotely",80,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Partially,Work on multiple layers simultaneously,,"Hybrid, Ad-Hoc"
"[15,35]","[4,10]",2,n,n,n,y,n,y,y,One joint team,"[4,10]","On-site, Remotely",20,Spontaneous/When needed,Regularly,Spontaneous/When needed,Regularly,Spontaneous/When needed,All,Work on multiple layers simultaneously,,Hybrid
"[4.75,10)",1,1,n,y,n,n,n,n,n,Multiple feature teams,"[3,12)",Remotely,,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Partially,Work on multiple layers simultaneously,Parallel development of multiple features.,Hybrid
"[15,35]",2,2,y,y,n,n,n,n,n,Several departments,"[30,50]","On-site, Remotely",90,Regularly,Regularly,Spontaneous/When needed,Regularly,Regularly,All,Work on multiple layers simultaneously,Parallel development of multiple features.,Hybrid
"[4.75,10)",2,1,y,n,n,n,n,n,n,One joint team,"[2,4)","On-site, Remotely",85,Prefer not to answer,Prefer not to answer,Spontaneous/When needed,Prefer not to answer,Spontaneous/When needed,None,Work on multiple layers simultaneously,Parallel development of multiple features.,Hybrid
"[4.75,10)","[4,10]",2,n,n,n,y,n,y,n,Multiple feature teams,"[3,12)",Remotely,,Spontaneous/When needed,Regularly,Spontaneous/When needed,Regularly,Spontaneous/When needed,Partially,Work on multiple layers simultaneously,Parallel development of multiple features.,Bespoke
"[15,35]",2,1,n,y,n,n,n,n,n,One joint team,"[4,10]",Remotely,,Regularly,Regularly,Regularly,Regularly,Regularly,All,Work on multiple layers simultaneously,Parallel development of multiple features.,Waterfall/Predictive
"[10,15)",1,1,y,n,n,n,n,n,n,One joint team,"[2,4)",Remotely,,Regularly,Spontaneous/When needed,Spontaneous/When needed,Regularly,Spontaneous/When needed,Partially,Work on multiple layers simultaneously,Parallel development of multiple features.,Hybrid
"[4.75,10)",1,1,n,y,n,n,n,n,n,One joint team,"[4,10]",On-site,,Regularly,Regularly,Spontaneous/When needed,Regularly,Regularly,All,,Parallel development of multiple features.,Hybrid
